Req. No. | requirement | subject | s-tag | s-ner | s-type | verb | v-tag | vcat | vprocess | object | o-tag | o-ner | o-type | label 
83|In the Edit menu, the system shall, upon choosing â€œSelect allâ€?, allows the user to select all objects that are currently displayed at file manager interface. |system|NN|O|group|choose|VB|1|0|â €|$|O||-1
83|In the Edit menu, the system shall, upon choosing â€œSelect allâ€?, allows the user to select all objects that are currently displayed at file manager interface. |system|NN|O|group|choose|VB|1|0|â œselect allâ €|$|O||-1
84|In the Edit menu, the system shall, upon choosing â€œInvert selectionâ€?, allows the user to invert the selection of objects. |user|NN|O|person|invert|NN|1|1|selection of object|NN|O|act|-1
84|In the Edit menu, the system shall, upon choosing â€œInvert selectionâ€?, allows the user to invert the selection of objects. |system|NN|O|group|shall in|IN|1|0|Edit menu|NN|O|communication|-1
84|In the Edit menu, the system shall, upon choosing â€œInvert selectionâ€?, allows the user to invert the selection of objects. |system|NN|O|group|choose|VB|1|0|â €|$|O||-1
84|In the Edit menu, the system shall, upon choosing â€œInvert selectionâ€?, allows the user to invert the selection of objects. |user|NN|O|person|invert|NN|1|1|selection|NN|O|act|-1
84|In the Edit menu, the system shall, upon choosing â€œInvert selectionâ€?, allows the user to invert the selection of objects. |system|NN|O|group|choose|VB|1|0|â œinvert selectionâ €|$|O|act|-1
85|In the Edit menu, the system shall, upon choosing â€œAll objectsâ€?, allows the user to select the objects displayed on file manager interface. |object|NN|O|Tops|display on|IN|1|0|file manager interface|NN|O|communication|-1
85|In the Edit menu, the system shall, upon choosing â€œAll objectsâ€?, allows the user to select the objects displayed on file manager interface. |system|NN|O|group|choose|VB|1|0|â œall objectsâ €|$|O|Tops|-1
85|In the Edit menu, the system shall, upon choosing â€œAll objectsâ€?, allows the user to select the objects displayed on file manager interface. |system|NN|O|group|shall in|IN|1|0|Edit menu|NN|O|communication|-1
85|In the Edit menu, the system shall, upon choosing â€œAll objectsâ€?, allows the user to select the objects displayed on file manager interface. |system|NN|O|group|choose|VB|1|0|â €|$|O||-1
86|In the Edit menu, the system shall, upon choosing â€œSort by selection statusâ€?, allow the user to sort all objects on file manager interface according to whether they are selected or not. |user|NN|O|person|sort|NN|1|0|object on file manager interface|NN|O|Tops|-1
86|In the Edit menu, the system shall, upon choosing â€œSort by selection statusâ€?, allow the user to sort all objects on file manager interface according to whether they are selected or not. |they|PRP|O||be|VB|0|0|select|JJ|O||-1
86|In the Edit menu, the system shall, upon choosing â€œSort by selection statusâ€?, allow the user to sort all objects on file manager interface according to whether they are selected or not. |system|NN|O|group|shall in|IN|1|0|Edit menu|NN|O|communication|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|view mode|NN|O|cognition|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|change view mode for object display|NN|O|event|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|application interface|NN|O|communication|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|main application interface|NN|O|object|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|view mode for object|NN|O|cognition|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|change view mode for object display in file manager interface|NN|O|event|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|other main application interface|NN|O|object|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|view mode for object display in file manager interface|NN|O|cognition|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|change view mode|NN|O|event|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|application interface|NN|O|communication|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|change view mode for object display|NN|O|event|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|main application interface|NN|O|object|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|change view mode|NN|O|event|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|view mode for object|NN|O|cognition|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|view mode|NN|O|cognition|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|view mode for object display|NN|O|cognition|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|other application interface|NN|O|communication|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|other application interface|NN|O|communication|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|change view mode for object display in file manager interface|NN|O|event|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|other main application interface|NN|O|object|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|change view mode for object|NN|O|event|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|view mode for object display in file manager interface|NN|O|cognition|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|instantly access|NN|1|1|change view mode for object|NN|O|event|-1
87|The System shall allow the user to instantly access other main application interfaces, as well as changing view mode for objects (archives and files) displayed in file manager interface. |user|NN|O|person|access|NN|1|1|view mode for object display|NN|O|cognition|-1
88|In the Browser menu, the system shall, upon choosing â€œGo to archiving layoutâ€?, allows the user directly to create archive interface. |user|NN|O|person|create|VB|0|1|archive interface|NN|O|artifact|-1
88|In the Browser menu, the system shall, upon choosing â€œGo to archiving layoutâ€?, allows the user directly to create archive interface. |system|NN|O|group|shall in|IN|1|0|Browser menu|NN|O|person|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|allow user to|TO|1|0|extraction interface|NN|O|process|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|allow|VBP|1|0|user|NN|O|person|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|allow directly|RB|1|0|user|NN|O|person|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|choose|VB|1|0|â œgo extraction layoutâ €|$|O|time|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|choose|VB|1|0|â layoutâ €|$|O|cognition|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|choose|VB|1|0|â € layoutâ €|$|MONEY|cognition|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|allow user directly to|TO|1|0|extraction interface|NN|O|process|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|shall in|IN|1|0|Browser menu|NN|O|person|-1
89|In the Browser menu, the system shall, upon choosing â€œGo to extraction layoutâ€?, allows the user directly to the extraction interface |system|NN|O|group|choose|VB|1|0|â € œgo extraction layoutâ €|$|O|time|-1
90|In the Browser menu, the system shall, upon choosing â€œToggle browse/flat viewâ€?, allows the user to display all the objects together contained in the current path or in the archive. |system|NN|O|group|choose|VB|1|0|â|NN|O||-1
90|In the Browser menu, the system shall, upon choosing â€œToggle browse/flat viewâ€?, allows the user to display all the objects together contained in the current path or in the archive. |user|NN|O|person|display|NN|0|0|object|NN|O|Tops|-1
90|In the Browser menu, the system shall, upon choosing â€œToggle browse/flat viewâ€?, allows the user to display all the objects together contained in the current path or in the archive. |system|NN|O|group|choose|VB|1|0|â €|$|O||-1
90|In the Browser menu, the system shall, upon choosing â€œToggle browse/flat viewâ€?, allows the user to display all the objects together contained in the current path or in the archive. |system|NN|O|group|shall in|IN|1|0|Browser menu|NN|O|person|-1
90|In the Browser menu, the system shall, upon choosing â€œToggle browse/flat viewâ€?, allows the user to display all the objects together contained in the current path or in the archive. |user|NN|O|person|display together|RB|1|0|object|VBP|O|Tops|-1
91|In the Browser menu, the system shall, upon choosing â€œRefreshâ€?, allow the user to refresh/update currently displayed content |system|NN|O|group|choose|VB|1|0|â œrefreshâ €|$|O||-1
91|In the Browser menu, the system shall, upon choosing â€œRefreshâ€?, allow the user to refresh/update currently displayed content |system|NN|O|group|shall in|IN|1|0|Browser menu|NN|O|person|-1
92|The System shall allow the user to use multiple computer system management tools. |user|NN|O|person|use|NN|1|0|multiple computer system management tool|NN|O|cognition|-1
92|The System shall allow the user to use multiple computer system management tools. |user|NN|O|person|use|NN|1|0|computer system management tool|NN|O|artifact|-1
92|The System shall allow the user to use multiple computer system management tools. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
93|In the Tools menu, the system shall, upon choosing â€œSystem toolsâ€?, allows the user to collect systemâ€™s disk utilities, system management tools and displays environment variables. |system|NN|O|group|shall system management tool in|IN|1|0|Tools menu|NN|O|artifact|-1
93|In the Tools menu, the system shall, upon choosing â€œSystem toolsâ€?, allows the user to collect systemâ€™s disk utilities, system management tools and displays environment variables. |system|NN|O|group|choose|VB|1|0|â œsystem toolsâ €|$|O|group|-1
93|In the Tools menu, the system shall, upon choosing â€œSystem toolsâ€?, allows the user to collect systemâ€™s disk utilities, system management tools and displays environment variables. |system|NN|O|group|shall|MD|1|0|display environment variable|NN|O|communication|-1
93|In the Tools menu, the system shall, upon choosing â€œSystem toolsâ€?, allows the user to collect systemâ€™s disk utilities, system management tools and displays environment variables. |system|NN|O|group|shall in|IN|1|0|Tools menu|NN|O|artifact|-1
93|In the Tools menu, the system shall, upon choosing â€œSystem toolsâ€?, allows the user to collect systemâ€™s disk utilities, system management tools and displays environment variables. |system|NN|O|group|choose|VB|1|0|â €|$|O||-1
93|In the Tools menu, the system shall, upon choosing â€œSystem toolsâ€?, allows the user to collect systemâ€™s disk utilities, system management tools and displays environment variables. |user|NN|O|person|collect|VB|1|1|systemâ € ™ s disk utility|NN|O|group|-1
93|In the Tools menu, the system shall, upon choosing â€œSystem toolsâ€?, allows the user to collect systemâ€™s disk utilities, system management tools and displays environment variables. |system|NN|O|group|shall|MD|1|0|system management tool|NN|O|group|-1
93|In the Tools menu, the system shall, upon choosing â€œSystem toolsâ€?, allows the user to collect systemâ€™s disk utilities, system management tools and displays environment variables. |system|NN|O|group|shall display environment variable in|IN|0|0|Tools menu|NN|O|artifact|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |system|NN|O|group|choose|VB|1|0|â|NN|O||-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |â|NN|O||€|$|1|0|œsystem benchmarkâ|NN|O|group|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |user|NN|O|person|rate host system in|IN|1|0|term of mips|NNS|O|communication|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |€|$|O||allow|VBP|1|0|user|NN|O|person|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |user|NN|O|person|rate|NN|1|0|host system|NN|O|person|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |user|NN|O|person|rate host system in|IN|1|0|term of mips in MHz|NNP|O|communication|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |mips|NNS|O|quantity|in|IN|1|0|MHz|NNP|O|time|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |system|NN|O|group|shall in|IN|1|0|Tools menu|NN|O|artifact|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |rate|NN|O|possession|in|IN|1|0|term of mips|NNS|O|communication|-1
94|In the Tools menu, the system shall, upon choosing â€œSystem benchmarkâ€? allows the user to rate the host system in terms of MIPS and Core 2 Duo equivalent speed in MHz. |user|NN|O|person|rate host system in|IN|1|0|term|NN|O|communication|-1
95|The System shall allow the user to access a group of file management tools. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
95|The System shall allow the user to access a group of file management tools. |user|NN|O|person|access|NN|1|1|group|NN|O|Tops|-1
95|The System shall allow the user to access a group of file management tools. |user|NN|O|person|access|NN|1|1|group of file management tool|NN|O|Tops|-1
96|The System shall allow the user to decompress the contents of a selected compressed archive and extract them in a folder. |user|NN|O|person|decompress|VBP|1|1|contents of compress archive|NN|O|communication|-1
96|The System shall allow the user to decompress the contents of a selected compressed archive and extract them in a folder. |user|NN|O|person|decompress|VBP|1|1|contents of select compress archive|NN|O|communication|-1
96|The System shall allow the user to decompress the contents of a selected compressed archive and extract them in a folder. |user|NN|O|person|decompress|VBP|1|1|contents of archive|NN|O|communication|-1
96|The System shall allow the user to decompress the contents of a selected compressed archive and extract them in a folder. |user|NN|O|person|decompress|VBP|1|1|contents of select archive|NN|O|communication|-1
96|The System shall allow the user to decompress the contents of a selected compressed archive and extract them in a folder. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
96|The System shall allow the user to decompress the contents of a selected compressed archive and extract them in a folder. |user|NN|O|person|decompress contents in|IN|1|0|folder|NN|TITLE|communication|-1
96|The System shall allow the user to decompress the contents of a selected compressed archive and extract them in a folder. |user|NN|O|person|decompress|VBP|1|1|contents|NNS|O|communication|-1
97|The System shall allow the user to compress one or more objects in one or more compressed archive volumes in the compression formats offered by Peazip. The System shall also allow the user to update an archive as well as choose objects that are to be included in an archive. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
97|The System shall allow the user to compress one or more objects in one or more compressed archive volumes in the compression formats offered by Peazip. The System shall also allow the user to update an archive as well as choose objects that are to be included in an archive. |user|NN|O|person|update|VBP|1|0|archive|NN|O|artifact|-1
97|The System shall allow the user to compress one or more objects in one or more compressed archive volumes in the compression formats offered by Peazip. The System shall also allow the user to update an archive as well as choose objects that are to be included in an archive. |System|NNP|O|group|shall also allow|VB|1|0|user|NN|O|person|-1
97|The System shall allow the user to compress one or more objects in one or more compressed archive volumes in the compression formats offered by Peazip. The System shall also allow the user to update an archive as well as choose objects that are to be included in an archive. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
98|The System shall allow the user to drag and drop objects between any computer system space and the application. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
99|The System shall allow the users to encrypt archives during creation or updation. |user|NN|O|person|encrypt|VB|1|1|archive|NN|O|artifact|-1
99|The System shall allow the users to encrypt archives during creation or updation. |user|NN|O|person|encrypt archive during|IN|1|0|creation|NN|O|act|-1
99|The System shall allow the users to encrypt archives during creation or updation. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|graphic display of currently execute function|NN|O|artifact|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|graphic display of execute function|NN|O|artifact|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|display of currently execute function|NN|O|communication|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|graphic display of function|NN|O|artifact|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|display|NN|O|communication|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|display of execute function|NN|O|communication|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|graphic display|NN|O|artifact|-1
100|The System shall allow the users the graphic display of currently executed functions. |System|NNP|O|group|shall allow|VB|1|0|display of function|NN|O|communication|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |they|PRP|O||cover|VBP|0|0|they need|VBP|O|state|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |System|NNP|O|group|adapt|VBP|0|1|they|PRP|O||-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |user|NN|O|person|make|VBP|0|0|modification offer by peazip function|NN|O|act|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |System|NNP|O|group|so adapt|VBP|0|1|they|PRP|O||-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |user|NN|O|person|make|VBP|0|0|modification offer|NN|O|act|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |user|NN|O|person|make|VBP|0|0|modification offer by function|NN|O|act|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |they|PRP|O||cover more adequately|RB|1|0|they need|VBP|O|state|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |modification|NN|O|act|offer by|IN|1|0|function|NN|O|relation|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |modification|NN|O|act|offer by|IN|1|0|peazip function|NN|O|relation|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |they|PRP|O||cover adequately|RB|1|0|they need|VBP|O|state|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
101|The System shall allow the users to make modifications offered by Peazip functions, so as to adapt them to their perference and cover their needs more adequately. |user|NN|O|person|make|VBP|0|0|modification|NN|O|act|-1
102|In the Options menu, upon choosing â€œRun as different userâ€?, the system shall allow the user to close the  current PeaZip instance and opens a new one under alternative user profile. |system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
102|In the Options menu, upon choosing â€œRun as different userâ€?, the system shall allow the user to close the  current PeaZip instance and opens a new one under alternative user profile. |user|NN|O|person|close|RB|0|0|current PeaZip instance|NN|O|phenomenon|-1
102|In the Options menu, upon choosing â€œRun as different userâ€?, the system shall allow the user to close the  current PeaZip instance and opens a new one under alternative user profile. |PeaZip instance|NN|O|event|open|JJ|0|0|new one|NN|O|quantity|-1
102|In the Options menu, upon choosing â€œRun as different userâ€?, the system shall allow the user to close the  current PeaZip instance and opens a new one under alternative user profile. |system|NN|O|group|shall allow in|IN|1|0|Options menu|NN|O|possession|-1
102|In the Options menu, upon choosing â€œRun as different userâ€?, the system shall allow the user to close the  current PeaZip instance and opens a new one under alternative user profile. |user|NN|O|person|close|RB|0|0|PeaZip instance|NN|O|event|-1
102|In the Options menu, upon choosing â€œRun as different userâ€?, the system shall allow the user to close the  current PeaZip instance and opens a new one under alternative user profile. |system|NN|O|group|shall allow user in|IN|1|0|Options menu|NN|O|possession|-1
102|In the Options menu, upon choosing â€œRun as different userâ€?, the system shall allow the user to close the  current PeaZip instance and opens a new one under alternative user profile. |current PeaZip instance|NN|O|phenomenon|open|JJ|0|0|new one|NN|O|quantity|-1
103|In the Options menu, upon choosing â€œLocalizationâ€?, the system shall allow the user to quickly change applicationâ€™s language. |system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
103|In the Options menu, upon choosing â€œLocalizationâ€?, the system shall allow the user to quickly change applicationâ€™s language. |user|NN|O|person|change|NN|0|0|applicationâ € ™ s language|NN|O|communication|-1
103|In the Options menu, upon choosing â€œLocalizationâ€?, the system shall allow the user to quickly change applicationâ€™s language. |user|NN|O|person|quickly change|VB|0|0|applicationâ € ™ s language|NN|O|communication|-1
103|In the Options menu, upon choosing â€œLocalizationâ€?, the system shall allow the user to quickly change applicationâ€™s language. |system|NN|O|group|shall allow in|IN|1|0|Options menu|NN|O|possession|-1
103|In the Options menu, upon choosing â€œLocalizationâ€?, the system shall allow the user to quickly change applicationâ€™s language. |system|NN|O|group|choose|VB|1|0|â œlocalizationâ €|$|O|act|-1
103|In the Options menu, upon choosing â€œLocalizationâ€?, the system shall allow the user to quickly change applicationâ€™s language. |system|NN|O|group|shall allow user in|IN|1|0|Options menu|NN|O|possession|-1
104|In the Options menu, upon choosing â€œSettingsâ€?, the system shall allow the user to directly access the settings window. |system|NN|O|group|choose|VB|1|0|â œsettingsâ €|$|O|location|-1
104|In the Options menu, upon choosing â€œSettingsâ€?, the system shall allow the user to directly access the settings window. |system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
104|In the Options menu, upon choosing â€œSettingsâ€?, the system shall allow the user to directly access the settings window. |system|NN|O|group|shall allow in|IN|1|0|Options menu|NN|O|possession|-1
104|In the Options menu, upon choosing â€œSettingsâ€?, the system shall allow the user to directly access the settings window. |user|NN|O|person|directly access|NN|1|1|setting window|NN|O|location|-1
104|In the Options menu, upon choosing â€œSettingsâ€?, the system shall allow the user to directly access the settings window. |user|NN|O|person|access|NN|1|1|setting window|NN|O|location|-1
104|In the Options menu, upon choosing â€œSettingsâ€?, the system shall allow the user to directly access the settings window. |system|NN|O|group|shall allow user in|IN|1|0|Options menu|NN|O|possession|-1
105|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |user|NN|O|person|add pdf to|TO|1|0|selection table|NN|O|act|-1
105|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |user|NN|O|person|select|JJ|1|1|pdf|NN|O||-1
105|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
105|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |user|NN|O|person|add|VB|0|1|pdf|NN|O||-1
105|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |user|NN|O|person|select|JJ|1|1|pdf from directory|NN|O|communication|-1
106|The System shall allow the user to set the split options |user|NN|O|person|set|VBD|0|0|split option|NN|O|act|-1
106|The System shall allow the user to set the split options |user|NN|O|person|set|NN|0|0|option|NN|O|possession|-1
106|The System shall allow the user to set the split options |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
107|The System shall allow the user to select the destination folder. |user|NN|O|person|select|JJ|1|1|destination folder|NN|TITLE|location|-1
107|The System shall allow the user to select the destination folder. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
108|The System shall allow the user to set the output filename pattern. |user|NN|O|person|set|VBD|0|0|output filename pattern|NN|O|artifact|-1
108|The System shall allow the user to set the output filename pattern. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
109|The system shall allow the user to use the embedded help option upon request. |system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
109|The system shall allow the user to use the embedded help option upon request. |user|NN|O|person|use|NN|1|0|embedded help option|NN|O|act|-1
109|The system shall allow the user to use the embedded help option upon request. |user|NN|O|person|use|NN|1|0|help option|NN|O|act|-1
109|The system shall allow the user to use the embedded help option upon request. |user|NN|O|person|use help option upon|IN|0|0|request|NN|O|communication|-1
110|The System shall allow the user to use the log panel to perform DEBUG operations. |user|NN|O|person|use|NN|1|0|log panel|NN|O|substance|-1
110|The System shall allow the user to use the log panel to perform DEBUG operations. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
111|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |user|NN|O|person|add pdf to|TO|1|0|selection table|NN|O|act|-1
111|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |user|NN|O|person|select|JJ|1|1|pdf|NN|O||-1
111|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
111|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |user|NN|O|person|add|VB|0|1|pdf|NN|O||-1
111|The System shall allow the user to add a pdf to the selection table which involves allowing the user to select a pdf from the directory. |user|NN|O|person|select|JJ|1|1|pdf from directory|NN|O|communication|-1
112|The System shall allow the user to set the merge options |user|NN|O|person|set|NN|0|0|merge option|NN|O|possession|-1
112|The System shall allow the user to set the merge options |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
113|The System shall allow the user to select the destination folder. |user|NN|O|person|select|JJ|1|1|destination folder|NN|TITLE|location|-1
113|The System shall allow the user to select the destination folder. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
114|The System shall allow the user to load the working environment which involves selecting the directory. |user|NN|O|person|load|NN|1|0|work environment|NN|O|act|-1
114|The System shall allow the user to load the working environment which involves selecting the directory. |user|NN|O|person|load|NN|1|0|environment|NN|O|state|-1
114|The System shall allow the user to load the working environment which involves selecting the directory. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
115|The System shall allow the user to save the working environment which involves selecting the directory. |user|NN|O|person|save|VB|0|0|work environment|NN|O|act|-1
115|The System shall allow the user to save the working environment which involves selecting the directory. |System|NNP|O|group|shall allow|VB|1|0|user|NN|O|person|-1
115|The System shall allow the user to save the working environment which involves selecting the directory. |user|NN|O|person|save|VB|0|0|environment|NN|O|state|-1
116|The system shall have the same search bar for torrent and streaming search.|system|NN|O|group|shall have|VB|1|0|search bar for torrent|NN|O|act|-1
